parc;estratos;spp;dap
1;Norte;Myrsine umbellata;12,73239545
1;Norte;Allophylus edulis;8,594366927
1;Norte;Myrsine umbellata;7,002817496
1;Norte;Myrsine umbellata;7,639437268
1;Norte;Myrsine umbellata;6,68450761
1;Norte;Eugenia pluriflora;5,252113122
1;Norte;Solanum sanctaecatharinae;6,725986566
1;Norte;Podocarpus lambertii;17,44338176
1;Norte;Matayba elaeagnoides;16,71126902
1;Norte;Gochnatia polymorpha;14,96056465
1;Norte;Solanum sanctaecatharinae;19,8625369
1;Norte;Araucaria angustifolia;5
1;Norte;Casearia decandra;5
1;Norte;Podocarpus lambertii;7,130141451
1;Norte;Zanthoxylum kleinii;5,379437077
1;Norte;Jacaranda puberula;9,45380362
1;Norte;Calyptranthes concinna;5,411268065
1;Norte;Duranta vestita;5,315775099
1;Norte;Jacaranda puberula;9,230986699
1;Norte;Myrcia laruotteana;15,96142382
1;Norte;Lithraea brasiliensis;19,79887492
1;Norte;Lithraea brasiliensis;16,80676199
1;Norte;Duranta vestita;9,421972631
1;Norte;Casearia decandra;8,350464166
1;Norte;Jacaranda puberula;10,37690229
1;Norte;Ilex theezans;9,390141642
1;Norte;Ocotea pulchella;26,26056561
1;Norte;Casearia decandra;8,276057041
1;Norte;Podocarpus lambertii;9,071831756
1;Norte;Casearia decandra;6,68450761
1;Norte;Gochnatia polymorpha;33,76469773
1;Norte;Casearia decandra;5,825070917
1;Norte;Cupania vernalis;5,092958179
1;Norte;Jacaranda puberula;5,092958179
1;Norte;Maytenus dasyclada;11,26124415
1;Norte;Matayba elaeagnoides;6,079718826
1;Norte;Matayba elaeagnoides;24,82817112
1;Norte;Casearia decandra;8,244226052
1;Norte;Lithraea brasiliensis;28,17042493
1;Norte;Gochnatia polymorpha;23,23662169
1;Norte;Erythroxylum deciduum;24,35070629
1;Norte;Zanthoxylum kleinii;5,156620156
1;Norte;Jacaranda puberula;11,4591559
1;Norte;Jacaranda puberula;11,80929678
1;Norte;Lithraea brasiliensis;5,952394872
1;Norte;Ocotea pulchella;28,71155173
2;Norte;Podocarpus lambertii;7,543944303
2;Norte;Jacaranda puberula;14,96056465
2;Norte;Solanum sanctaecatharinae;5,411268065
2;Norte;Eugenia pluriflora;13,05070533
2;Norte;Myrsine umbellata;10,56788822
2;Norte;Podocarpus lambertii;25,74660686
